id;start_date;end_date;language
1;2019-05-10T13:59:31;2019-05-10T07:07:48;FRENCH
2;2019-05-10T15:29:37;2019-05-10T00:35:47;FRENCH
3;2019-05-10T11:01:41;2019-05-10T02:25:41;FRENCH
4;2019-05-10T00:13:32;2019-05-10T07:40:34;FRENCH
5;2019-05-10T09:12:11;2019-05-10T13:56:20;FRENCH
6;2019-05-10T15:29:12;2019-05-10T16:46:08;FRENCH
7;2019-05-10T00:51:32;2019-05-10T13:32:19;FRENCH
8;2019-05-09T22:22:51;2019-05-10T06:23:00;FRENCH
9;2019-05-10T08:10:57;2019-05-10T16:35:35;FRENCH
10;2019-05-10T11:29:06;2019-05-10T08:45:21;FRENCH
